"category_id","category_name","numbers_of_rental","revenue","average_revenue","quantity"
15,"Sports","1081","4892.19","3832.0025000000000000","1081"
14,"Sci-Fi","998","4336.01","3832.0025000000000000","998"
2,"Animation","1065","4245.31","3832.0025000000000000","1065"
7,"Drama","953","4118.46","3832.0025000000000000","953"
5,"Comedy","851","4002.48","3832.0025000000000000","851"
13,"New","864","3966.38","3832.0025000000000000","864"
1,"Action","1013","3951.84","3832.0025000000000000","1013"
9,"Foreign","953","3934.47","3832.0025000000000000","953"
10,"Games","884","3922.18","3832.0025000000000000","884"
8,"Family","988","3830.15","3832.0025000000000000","988"
6,"Documentary","937","3749.65","3832.0025000000000000","937"
11,"Horror","773","3401.27","3832.0025000000000000","773"
4,"Classics","860","3353.38","3832.0025000000000000","860"
3,"Children","861","3309.39","3832.0025000000000000","861"
16,"Travel","765","3227.36","3832.0025000000000000","765"
12,"Music","750","3071.52","3832.0025000000000000","750"
