"number_of_customers","city_id","city"
"2",312,"London"
"2",42,"Aurora"
"1",477,"Siegen"
"1",273,"Klerksdorp"
"1",550,"Udaipur"
"1",51,"Balurghat"
"1",394,"Pak Kret"
"1",272,"Kitwe"
"1",70,"Bergamo"
"1",190,"guas Lindas de Gois"
"1",350,"Mysore"
"1",539,"Tonghae"
"1",554,"Uluberia"
"1",278,"Korolev"
"1",424,"Quilmes"
"1",406,"Phnom Penh"
"1",176,"Gandhinagar"
"1",309,"Livorno"
"1",292,"Lancaster"
"1",509,"Surakarta"
"1",22,"Ambattur"
"1",271,"Kisumu"
"1",156,"Elista"
"1",417,"Pune"
"1",556,"Uruapan"
"1",475,"Shivapuri"
"1",529,"Tarsus"
"1",282,"Kuching"
"1",390,"Oyo"
"1",173,"Funafuti"
"1",269,"Kingstown"
"1",261,"Kanchrapara"
"1",502,"Suihua"
"1",189,"Guaruj"
"1",161,"Escobar"
"1",117,"Cianjur"
"1",125,"Coatzacoalcos"
"1",113,"Cheju"
"1",40,"Atlixco"
"1",257,"Kamarhati"
"1",43,"Avellaneda"
"1",587,"Yinchuan"
"1",120,"Citrus Heights"
"1",578,"Xiangfan"
"1",440,"Sagamihara"
"1",187,"Greensboro"
"1",349,"Myingyan"
"1",57,"Bat Yam"
"1",19,"Allende"
"1",160,"Erlangen"
"1",506,"Sumy"
"1",508,"Sunnyvale"
"1",242,"Jinzhou"
"1",357,"Naju"
"1",331,"Matsue"
"1",599,"Zhoushan"
"1",266,"Kilis"
"1",315,"Lubumbashi"
"1",366,"Nha Trang"
"1",307,"Linz"
"1",91,"Brescia"
"1",54,"Banjul"
"1",29,"Apeldoorn"
"1",305,"Lima"
"1",4,"Acua"
"1",181,"Gijn"
"1",96,"Buenaventura"
"1",466,"Serpuhov"
"1",201,"Hanoi"
"1",10,"Akishima"
"1",35,"Ashgabat"
"1",6,"Addis Abeba"
"1",107,"Chandrapur"
"1",446,"Salinas"
"1",86,"Botosani"
"1",220,"Ilorin"
"1",400,"Patiala"
"1",219,"Iligan"
"1",241,"Jining"
"1",175,"Fuzhou"
"1",363,"NDjamna"
"1",596,"Zaria"
"1",285,"Kurgan"
"1",50,"Balikesir"
"1",66,"Belm"
"1",231,"Jaipur"
"1",512,"Szkesfehrvr"
"1",340,"Molodetno"
"1",523,"Tanauan"
"1",356,"Najafabad"
"1",13,"al-Hawiya"
"1",391,"Ozamis"
"1",458,"Santa Rosa"
"1",487,"Sogamoso"
"1",414,"Portoviejo"
"1",2,"Abha"
"1",368,"Novi Sad"
"1",246,"Jos Azueta"
"1",75,"Bhimavaram"
"1",128,"Crdoba"
"1",538,"Tokat"
"1",166,"Ezhou"
"1",344,"Mosul"
"1",595,"Zapopan"
"1",142,"Denizli"
"1",152,"Effon-Alaiye"
"1",410,"Po"
"1",534,"Tete"
"1",428,"Rancagua"
"1",355,"Nagareyama"
"1",222,"Inegl"
"1",381,"Ondo"
"1",38,"Athenai"
"1",359,"Nam Dinh"
"1",597,"Zeleznogorsk"
"1",193,"Haining"
"1",164,"Etawah"
"1",548,"Tuguegarao"
"1",453,"San Lorenzo"
"1",217,"Ife"
"1",186,"Graz"
"1",47,"Baiyin"
"1",501,"Sucre"
"1",177,"Garden Grove"
"1",182,"Gingoog"
"1",545,"Trshavn"
"1",18,"Allappuzha (Alleppey)"
"1",528,"Tarlac"
"1",110,"Chapra"
"1",145,"Dongying"
"1",27,"Antofagasta"
"1",143,"Dhaka"
"1",563,"Valle de Santiago"
"1",557,"Usak"
"1",496,"Southport"
"1",58,"Batman"
"1",228,"Iwatsuki"
"1",485,"So Bernardo do Campo"
"1",294,"Lapu-Lapu"
"1",229,"Izumisano"
"1",481,"Sirjan"
"1",559,"Uttarpara-Kotrung"
"1",304,"Lilongwe"
"1",52,"Bamenda"
"1",382,"Onomichi"
"1",438,"s-Hertogenbosch"
"1",258,"Kamjanets-Podilskyi"
"1",341,"Monclova"
"1",378,"Olomouc"
"1",483,"Skikda"
"1",450,"San Felipe de Puerto Plata"
"1",405,"Pereira"
"1",84,"Boa Vista"
"1",170,"Florencia"
"1",192,"Hagonoy"
"1",276,"Koriyama"
"1",513,"Tabora"
"1",101,"Cape Coral"
"1",473,"Shimoga"
"1",69,"Benin City"
"1",379,"Omdurman"
"1",320,"Maikop"
"1",375,"Okara"
"1",115,"Chisinau"
"1",415,"Probolinggo"
"1",97,"Bydgoszcz"
"1",108,"Changhwa"
"1",408,"Pjatigorsk"
"1",59,"Batna"
"1",589,"York"
"1",127,"Coquimbo"
"1",555,"Urawa"
"1",522,"Tambaram"
"1",567,"Vicente Lpez"
"1",329,"Masqat"
"1",11,"Akron"
"1",44,"Bag"
"1",575,"Witten"
"1",401,"Patras"
"1",153,"El Alto"
"1",507,"Sungai Petani"
"1",279,"Kowloon and New Kowloon"
"1",214,"Hunuco"
"1",9,"Ahmadnagar"
"1",419,"Purwakarta"
"1",543,"Toulon"
"1",565,"Vancouver"
"1",551,"Udine"
"1",566,"Varanasi (Benares)"
"1",532,"Tegal"
"1",457,"Santa F"
"1",85,"Boksburg"
"1",592,"Zalantun"
"1",95,"Bucuresti"
"1",281,"Ktahya"
"1",259,"Kamyin"
"1",553,"Uijongbu"
"1",519,"Talavera"
"1",172,"Fukuyama"
"1",302,"Liaocheng"
"1",409,"Plock"
"1",30,"Araatuba"
"1",21,"Alvorada"
"1",288,"La Paz"
"1",521,"Tama"
"1",3,"Abu Dhabi"
"1",324,"Mandi Bahauddin"
"1",249,"Junan"
"1",398,"Parbhani"
"1",255,"Kalisz"
"1",388,"Ourense (Orense)"
"1",165,"Ezeiza"
"1",56,"Basel"
"1",151,"Ede"
"1",296,"Lausanne"
"1",209,"Hsichuh"
"1",74,"Bhilwara"
"1",34,"Ashdod"
"1",138,"Davao"
"1",418,"Purnea (Purnia)"
"1",245,"Joliet"
"1",205,"Hiroshima"
"1",67,"Benguela"
"1",407,"Pingxiang"
"1",90,"Bratislava"
"1",325,"Mannheim"
"1",387,"Oulu"
"1",443,"Sal"
"1",484,"Smolensk"
"1",334,"Merlo"
"1",558,"Usolje-Sibirskoje"
"1",144,"Dhule (Dhulia)"
"1",540,"Tongliao"
"1",39,"Atinsk"
"1",168,"Fengshan"
"1",598,"Zhezqazghan"
"1",471,"Shenzhen"
"1",526,"Tanshui"
"1",393,"Pachuca de Soto"
"1",287,"Kuwana"
"1",524,"Tandil"
"1",464,"Satna"
"1",167,"Faaa"
"1",498,"Stara Zagora"
"1",277,"Korla"
"1",290,"La Romana"
"1",494,"Southampton"
"1",469,"Shaoguan"
"1",118,"Ciomas"
"1",317,"Luzinia"
"1",284,"Kurashiki"
"1",342,"Monywa"
"1",488,"Sokoto"
"1",126,"Compton"
"1",194,"Haiphong"
"1",360,"Namibe"
"1",463,"Sasebo"
"1",99,"Callao"
"1",476,"Shubra al-Khayma"
"1",367,"Niznekamsk"
"1",374,"Ogbomosho"
"1",588,"Yingkou"
"1",41,"Augusta-Richmond County"
"1",46,"Baicheng"
"1",206,"Hodeida"
"1",439,"Saarbrcken"
"1",224,"Isesaki"
"1",586,"Yerevan"
"1",572,"Vitria de Santo Anto"
